name,birth,death,role,color,tags
Japheth,-2450,0,Noah's son; ancestor of Indo-European peoples,#5B8C5A,"patriarch,table-of-nations,japheth-line"
Gomer,-2300,0,Son of Japheth; ancestor of Cimmerians and Germanic peoples,#4A90D9,"table-of-nations,japheth-line"
Ashkenaz,-2250,0,Son of Gomer; ancestor of Germanic/Scythian peoples,#5BA3E0,"table-of-nations,japheth-line"
Riphath,-2250,0,Son of Gomer; ancestor of Paphlagonians,#6CB6E7,"table-of-nations,japheth-line"
Togarmah,-2250,0,Son of Gomer; ancestor of Armenians and Turkic peoples,#7DC9EE,"table-of-nations,japheth-line"
Magog,-2300,0,Son of Japheth; ancestor of Scythians and northern peoples,#4A90D9,"table-of-nations,japheth-line"
Madai,-2300,0,Son of Japheth; ancestor of Medes,#5BA3E0,"table-of-nations,japheth-line"
Javan,-2300,0,Son of Japheth; ancestor of Greeks and Ionians,#6CB6E7,"table-of-nations,japheth-line"
Elishah,-2250,0,Son of Javan; ancestor of Greeks of Elis or Sicily,#7DC9EE,"table-of-nations,japheth-line"
Tarshish,-2250,0,Son of Javan; ancestor of peoples of western Mediterranean,#4A90D9,"table-of-nations,japheth-line"
Kittim,-2250,0,Son of Javan; ancestor of Cypriots and Romans,#5BA3E0,"table-of-nations,japheth-line"
Dodanim,-2250,0,Son of Javan; ancestor of Rhodians,#6CB6E7,"table-of-nations,japheth-line"
Tubal,-2300,0,Son of Japheth; ancestor of peoples of Asia Minor,#7DC9EE,"table-of-nations,japheth-line"
Meshech,-2300,0,Son of Japheth; ancestor of Moschians near Black Sea,#4A90D9,"table-of-nations,japheth-line"
Tiras,-2300,0,Son of Japheth; ancestor of Thracians,#5BA3E0,"table-of-nations,japheth-line"
Ham,-2448,0,Noah's son; ancestor of African and Canaanite peoples,#5B8C5A,"patriarch,table-of-nations,ham-line"
Cush,-2300,0,Son of Ham; ancestor of Ethiopians and Cushites,#D97B4A,"table-of-nations,ham-line"
Nimrod,-2250,0,Son of Cush; mighty hunter; first empire builder; founded Babel,#E08C5B,"table-of-nations,ham-line,babylon"
Seba,-2250,0,Son of Cush; ancestor of Sabaean peoples,#D97B4A,"table-of-nations,ham-line"
Havilah,-2250,0,Son of Cush; ancestor of Arabian peoples,#E08C5B,"table-of-nations,ham-line"
Sabtah,-2250,0,Son of Cush; ancestor identified with Sabota in Arabia,#E79D6C,"table-of-nations,ham-line"
Raamah,-2250,0,Son of Cush; ancestor of Arabian tribe,#EEB07D,"table-of-nations,ham-line"
Sheba,-2200,0,Son of Raamah; ancestor of Sabaeans of Arabia,#D97B4A,"table-of-nations,ham-line"
Dedan,-2200,0,Son of Raamah; ancestor of north Arabian tribe,#E08C5B,"table-of-nations,ham-line"
Sabtechah,-2250,0,Son of Cush; ancestor of peoples near Persian Gulf,#E79D6C,"table-of-nations,ham-line"
Mizraim,-2300,0,Son of Ham; ancestor of Egyptians; name for Egypt in Hebrew,#D97B4A,"table-of-nations,ham-line,egypt"
Ludim,-2250,0,Son of Mizraim; ancestor of Lydians,#E08C5B,"table-of-nations,ham-line"
Anamim,-2250,0,Son of Mizraim; ancestor of peoples in north Africa,#E79D6C,"table-of-nations,ham-line"
Lehabim,-2250,0,Son of Mizraim; ancestor of Libyans,#EEB07D,"table-of-nations,ham-line"
Naphtuhim,-2250,0,Son of Mizraim; ancestor of peoples of north Africa,#D97B4A,"table-of-nations,ham-line"
Pathrusim,-2250,0,Son of Mizraim; ancestor of Upper Egyptians,#E08C5B,"table-of-nations,ham-line"
Casluhim,-2250,0,Son of Mizraim; ancestor of Philistines,#E79D6C,"table-of-nations,ham-line,philistia"
Caphtorim,-2250,0,Son of Mizraim; ancestor of Cretans,#EEB07D,"table-of-nations,ham-line"
Put,-2300,0,Son of Ham; ancestor of Libyan and north African peoples,#D97B4A,"table-of-nations,ham-line"
Canaan,-2300,0,Son of Ham; ancestor of Canaanite peoples; cursed by Noah,#E08C5B,"table-of-nations,ham-line,canaan"
Sidon,-2250,0,Firstborn of Canaan; ancestor of Phoenicians,#E79D6C,"table-of-nations,ham-line,phoenicia"
Heth,-2250,0,Son of Canaan; ancestor of Hittites,#EEB07D,"table-of-nations,ham-line,hittites"
Jebusite,-2250,0,Son of Canaan; ancestor of Jebusites of Jerusalem,#D97B4A,"table-of-nations,ham-line,canaan"
Amorite,-2250,0,Son of Canaan; ancestor of Amorites,#E08C5B,"table-of-nations,ham-line,canaan"
Girgasite,-2250,0,Son of Canaan; ancestor of Girgasites,#E79D6C,"table-of-nations,ham-line,canaan"
Hivite,-2250,0,Son of Canaan; ancestor of Hivites,#EEB07D,"table-of-nations,ham-line,canaan"
Arkite,-2250,0,Son of Canaan; ancestor of peoples of Arka,#D97B4A,"table-of-nations,ham-line,canaan"
Sinite,-2250,0,Son of Canaan; ancestor of peoples of Sin near Phoenicia,#E08C5B,"table-of-nations,ham-line,canaan"
Arvadite,-2250,0,Son of Canaan; ancestor of peoples of Arvad island,#E79D6C,"table-of-nations,ham-line,canaan"
Zemarite,-2250,0,Son of Canaan; ancestor of peoples of Zemar,#EEB07D,"table-of-nations,ham-line,canaan"
Hamathite,-2250,0,Son of Canaan; ancestor of peoples of Hamath in Syria,#D97B4A,"table-of-nations,ham-line,canaan"
Shem,-2446,-1846,Noah's son; ancestor of Semitic peoples,#5B8C5A,"patriarch,table-of-nations,shem-line"
Elam,-2300,0,Son of Shem; ancestor of Elamites of Persia,#4AD97B,"table-of-nations,shem-line"
Asshur,-2300,0,Son of Shem; ancestor of Assyrians,#5BE08C,"table-of-nations,shem-line,assyria"
Arphaxad,-2346,-1908,Son of Shem; born 2 years after Flood; ancestor of Hebrews,#6CE79D,"table-of-nations,shem-line"
Lud,-2300,0,Son of Shem; ancestor of Lydians,#4AD97B,"table-of-nations,shem-line"
Aram,-2300,0,Son of Shem; ancestor of Arameans and Syrians,#5BE08C,"table-of-nations,shem-line,syria"
Uz,-2250,0,Son of Aram; ancestor of people of Uz (land of Job),#6CE79D,"table-of-nations,shem-line"
Hul,-2250,0,Son of Aram; ancestor of peoples near Armenia,#4AD97B,"table-of-nations,shem-line"
Gether,-2250,0,Son of Aram; ancestor of peoples of Mesopotamia,#5BE08C,"table-of-nations,shem-line"
Mash,-2250,0,Son of Aram; ancestor of peoples of Mt Masius,#6CE79D,"table-of-nations,shem-line"
Shelah,-2311,-1878,Son of Arphaxad; patriarch in Shem's line,#4AD97B,"table-of-nations,shem-line"
Eber,-2281,-1817,Son of Shelah; father of Hebrews; Hebrew language named from him,#5BE08C,"table-of-nations,shem-line,hebrew"
Peleg,-2247,-2008,Son of Eber; in his days the earth was divided,#6CE79D,"table-of-nations,shem-line"
Joktan,-2247,0,Son of Eber; brother of Peleg; ancestor of Arabian peoples,#4AD97B,"table-of-nations,shem-line"
Almodad,-2200,0,Son of Joktan; ancestor of Arabian tribe,#5BE08C,"table-of-nations,shem-line,joktan"
Sheleph,-2200,0,Son of Joktan; ancestor of Salapeni in Arabia,#6CE79D,"table-of-nations,shem-line,joktan"
Hazarmaveth,-2200,0,Son of Joktan; ancestor of Hadramaut region,#4AD97B,"table-of-nations,shem-line,joktan"
Jerah,-2200,0,Son of Joktan; ancestor of peoples of southern Arabia,#5BE08C,"table-of-nations,shem-line,joktan"
Hadoram,-2200,0,Son of Joktan; ancestor of Arabian peoples,#6CE79D,"table-of-nations,shem-line,joktan"
Uzal,-2200,0,Son of Joktan; ancestor of peoples of Azal in Yemen,#4AD97B,"table-of-nations,shem-line,joktan"
Diklah,-2200,0,Son of Joktan; ancestor of palm-grove peoples,#5BE08C,"table-of-nations,shem-line,joktan"
Obal,-2200,0,Son of Joktan; ancestor of Arabian peoples,#6CE79D,"table-of-nations,shem-line,joktan"
Abimael,-2200,0,Son of Joktan; ancestor of Arabian peoples,#4AD97B,"table-of-nations,shem-line,joktan"
Sheba,-2200,0,Son of Joktan; ancestor of Sabaeans of Yemen,#5BE08C,"table-of-nations,shem-line,joktan"
