name,birth,death,role,color,tags
Adam,-4004,-3074,First man; tended Garden of Eden,#8B6914,"patriarch,antediluvian,creation"
Eve,-4004,0,First woman; mother of all living,#8B6914,"matriarch,antediluvian,creation"
Seth,-3874,-2962,Third son of Adam; ancestor of Noah,#8B6914,"patriarch,antediluvian"
Enos,-3769,-2864,First to call on the name of the LORD,#8B6914,"patriarch,antediluvian"
Cainan,-3679,-2769,Son of Enos; antediluvian patriarch,#8B6914,"patriarch,antediluvian"
Mahalaleel,-3609,-2714,Son of Cainan; antediluvian patriarch,#8B6914,"patriarch,antediluvian"
Jared,-3544,-2582,Father of Enoch; antediluvian patriarch,#8B6914,"patriarch,antediluvian"
Enoch,-3382,-3017,Walked with God; taken without death,#8B6914,"patriarch,antediluvian,translation,faith"
Methuselah,-3317,-2348,Longest-lived person; died year of Flood,#8B6914,"patriarch,antediluvian"
Lamech,-3130,-2353,Son of Methuselah; prophesied Noah would bring relief,#8B6914,"patriarch,antediluvian"
Noah,-2948,-1998,Built the Ark; survived the Flood,#5B8C5A,"patriarch,flood,ark"
Shem,-2446,-1846,Noah's son; ancestor of Semitic peoples,#5B8C5A,"patriarch,post-flood,semitic"
Ham,-2448,0,Noah's son; ancestor of African and Canaanite peoples,#5B8C5A,"patriarch,post-flood"
Japheth,-2450,0,Noah's son; ancestor of Indo-European peoples,#5B8C5A,"patriarch,post-flood"
Arphaxad,-2346,-1908,Son of Shem; born 2 years after Flood,#4A7FB5,"patriarch,post-flood"
Salah,-2311,-1878,Son of Arphaxad; antediluvian line continues,#4A7FB5,"patriarch,post-flood"
Eber,-2281,-1817,Father of the Hebrews; Hebrew language named from him,#4A7FB5,"patriarch,post-flood,hebrew"
Peleg,-2247,-2008,In his days the earth was divided,#4A7FB5,"patriarch,post-flood"
Reu,-2217,-1978,Son of Peleg; patriarch,#4A7FB5,"patriarch,post-flood"
Serug,-2185,-1955,Son of Reu; patriarch,#4A7FB5,"patriarch,post-flood"
Nahor,-2155,-2007,Son of Serug; patriarch,#4A7FB5,"patriarch,post-flood"
Terah,-2126,-1921,Father of Abraham; moved family from Ur toward Canaan,#4A7FB5,"patriarch,post-flood"
Abraham,-2056,-1881,Father of many nations; covenant of circumcision,#9B4DCA,"patriarch,covenant,faith"
Sarah,-2056,-1930,Wife of Abraham; mother of Isaac,#9B4DCA,"matriarch,covenant,faith"
Hagar,0,0,Egyptian maidservant; mother of Ishmael,#9B4DCA,"matriarch"
Ishmael,-2081,-1944,Son of Abraham and Hagar; ancestor of 12 Arabian princes,#9B4DCA,"patriarch,ishmael,arabic"
Rebekah,-2020,0,Wife of Isaac; mother of Jacob and Esau,#9B4DCA,"matriarch,covenant"
Isaac,-1956,-1776,Covenant heir; offered on Mt Moriah,#9B4DCA,"patriarch,covenant,faith"
Esau,-1896,0,Twin of Jacob; sold birthright; ancestor of Edomites,#9B4DCA,"patriarch,edom"
Jacob,-1896,-1689,Renamed Israel; father of 12 Tribes,#9B4DCA,"patriarch,covenant,israel"
Leah,-1896,0,First wife of Jacob; mother of 6 sons,#9B4DCA,"matriarch"
Rachel,-1900,-1836,Beloved wife of Jacob; died giving birth to Benjamin,#9B4DCA,"matriarch"
Bilhah,0,0,Rachel's maidservant; mother of Dan and Naphtali,#9B4DCA,"matriarch"
Zilpah,0,0,Leah's maidservant; mother of Gad and Asher,#9B4DCA,"matriarch"
Reuben,-1880,0,Firstborn of Jacob and Leah; lost birthright,#C0392B,"12-tribes,leah"
Simeon,-1878,0,Second son of Jacob and Leah,#C0392B,"12-tribes,leah"
Levi,-1876,0,Third son; priestly tribe; ancestor of Moses and Aaron,#C0392B,"12-tribes,leah,priesthood"
Judah,-1874,0,Fourth son; Messianic line; sceptre shall not depart from Judah,#C0392B,"12-tribes,leah,messianic"
Dan,-1872,0,Fifth son; son of Bilhah,#27AE60,"12-tribes,bilhah"
Naphtali,-1870,0,Sixth son; son of Bilhah,#27AE60,"12-tribes,bilhah"
Gad,-1868,0,Seventh son; son of Zilpah,#2980B9,"12-tribes,zilpah"
Asher,-1866,0,Eighth son; son of Zilpah,#2980B9,"12-tribes,zilpah"
Issachar,-1864,0,Ninth son of Jacob and Leah,#C0392B,"12-tribes,leah"
Zebulun,-1862,0,Tenth son of Jacob and Leah,#C0392B,"12-tribes,leah"
Joseph,-1860,-1700,Eleventh son; Rachel's firstborn; prime minister of Egypt,#E67E22,"12-tribes,rachel,egypt"
Benjamin,-1840,0,Twelfth son; Rachel's second; she died in childbirth,#E67E22,"12-tribes,rachel"
Kohath,-1820,0,Son of Levi; grandfather of Moses,#8E44AD,"levite,moses-line"
Amram,-1750,0,Son of Kohath; father of Moses Aaron and Miriam,#8E44AD,"levite,moses-line"
Jochebed,-1750,0,Wife of Amram; mother of Moses Aaron and Miriam,#8E44AD,"levite,moses-line"
Miriam,-1530,-1400,Sister of Moses and Aaron; prophetess,#8E44AD,"prophet,levite,exodus"
Aaron,-1527,-1406,Brother of Moses; first high priest of Israel,#8E44AD,"priest,levite,exodus"
Moses,-1527,-1407,Deliverer of Israel; received the Law at Sinai; led Exodus,#8E44AD,"prophet,levite,exodus,law"
