title,date_start,date_end,description,category,people,location,tags
Creation,-4004,0,God creates the heavens and the earth in six days,Religion,Adam|Eve,Garden of Eden,"creation,genesis,beginning"
The Fall,-4003,0,Adam and Eve disobey God; expelled from Garden of Eden,Religion,Adam|Eve,Garden of Eden,"fall,sin,expulsion"
Birth of Seth,-3874,0,Adam's third son born after Abel's murder; ancestor of Noah,Personal,Adam|Eve|Seth,,"birth,seth"
Enoch Translated,-3017,0,Enoch walked with God and was taken without dying,Religion,Enoch,,"translation,faith,enoch"
The Flood,-2348,-2347,God sends a global flood; Noah and family preserved in the Ark,Religion,Noah|Shem|Ham|Japheth,Mount Ararat,"flood,judgment,salvation,ark"
Tower of Babel,-2247,0,Nations dispersed after building tower; languages confused by God,Historical,Nimrod,Babel,"babel,languages,nations,dispersion"
Call of Abram,-1921,0,God calls Abram to leave Ur; promises land seed and blessing,Religion,Abraham,Ur of the Chaldees,"covenant,call,promise,faith"
Covenant of Circumcision,-1897,0,God establishes covenant sign with Abraham; name changed from Abram,Religion,Abraham|Sarah,Canaan,"covenant,circumcision,promise"
Birth of Isaac,-1896,0,Isaac born to Abraham and Sarah in their old age; miracle child,Personal,Abraham|Sarah|Isaac,Canaan,"birth,miracle,promise,isaac"
Offering of Isaac,-1871,0,Abraham offers Isaac on Mt Moriah; God provides a substitute ram,Religion,Abraham|Isaac,Mount Moriah,"faith,sacrifice,typology,moriah"
Jacob's Ladder Dream,-1836,0,Jacob dreams of ladder to heaven; God renews the covenant with him,Religion,Jacob,Bethel,"dream,covenant,vision,bethel"
Jacob Renamed Israel,-1836,0,Jacob wrestles with God all night; renamed Israel meaning prince with God,Religion,Jacob,Peniel,"transformation,covenant,israel,wrestling"
Joseph Sold into Egypt,-1730,0,Joseph's brothers sell him to Ishmaelite traders for 20 pieces of silver,Historical,Joseph|Reuben|Judah,Dothan,"betrayal,providence,joseph"
Joseph Made Prime Minister,-1715,0,Pharaoh elevates Joseph to rule over all Egypt after interpreting dreams,Historical,Joseph,Egypt,"promotion,providence,egypt,joseph"
The Exodus,-1447,0,Moses leads Israel out of Egypt after 10 plagues; Passover instituted,Historical,Moses|Aaron|Miriam,Egypt,"exodus,freedom,passover,plagues"
Ten Commandments Given,-1447,0,God gives the Law to Moses at Mount Sinai; covenant established,Religion,Moses,Mount Sinai,"law,covenant,sinai,commandments"
